No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
638,ER014,"Buah negri, segar",85.7,55,1.2,0.1,12.2,5.2,0.8,30,40,0.2,10,-,0.1,0.3,-,460,-,0.33,0.03,0.1,9,48,Tunggal,Buah,KZGMI-2001,Snack
639,ER015,"Buah nona, segar",71.5,101,1.7,0.6,25.2,2.8,1,27,20,0.8,5,312.5,325.7,0.1,-,49,-,0.08,0.16,0.9,22,58,Tunggal,Buah,DABM-1964,Snack
640,ER016,"Buah rotan, segar",79.4,78,0.6,0.3,18.2,-,1.5,1,7,3.4,7,495,0.3,0.7,-,-,-,0.12,-,-,5,-,Tunggal,Buah,KZGMI-2001,Snack
641,ER017,"Buah rukam, segar",71.3,113,0.8,0.3,26.8,7.7,0.8,108,52,1.2,2,219,0.3,0.9,-,17,-,0.06,0.01,-,20,100,Tunggal,Buah,KZGMI-2001,Snack
642,ER018,"Buah ruruhi, segar",93,29,2.1,0.7,3.6,2.6,0.3,6,7,-,36,45,-,0.1,-,7,-,0.06,0.01,-,10,82,Tunggal,Buah,KZGMI-2001,Snack
643,ER019,"Buah tuppa, segar",82.5,67,0.4,0.2,15.9,-,1,12,139,0.5,2,-,0.2,0.5,-,-,-,0.04,0.01,-,5,-,Tunggal,Buah,KZGMI-2001,Snack
644,ER020,"Carica papaya, segar",93.4,24,1.9,0.2,3.7,1,0.9,51,33,1.8,-,-,-,-,-,-,1000,0.32,0.07,-,85,60,Tunggal,Buah,KZGPI-1990,Snack
645,ER021,"Cempedak, segar",67,116,3,0.4,28.6,3.4,1,20,30,1.5,26,243.7,-,-,-,79,200,-,-,0.5,15,30,Tunggal,Buah,DABM-1964,Snack
646,ER022,"Duku, segar",82,63,1,0.2,16.1,4.3,0.7,18,9,0.9,2,147.5,0.09,0.2,-,-,-,0.05,0.15,1.5,9,64,Tunggal,Buah,DABM-1964,Snack
647,ER023,"Durian, segar",65,134,2.5,3,28,3.5,8,7,44,1.3,1,601,0.12,0.3,-,146,175,0.1,0.19,136.5,53,22,Tunggal,Buah,DABM-1964,Snack
648,ER024,"Duwet, segar",80.2,80,0.5,0.6,18.2,0.9,0.5,33,138,1.3,16,92.7,191.28,0.3,-,329,-,0.02,0.01,2.5,130,67,Tunggal,Buah,KZGPI-1990,Snack
649,ER025,"Embacang, segar",72.5,98,1.4,0.2,25.4,1.9,0.5,21,15,0.5,3,250.9,0.13,0.1,-,2533,1218,0.03,0.09,0.7,56,65,Tunggal,Buah,DABM-1964,Snack
651,ER027,"Erbis, segar",80,70,0.6,-,18.9,7.7,0.5,11,50,1.1,21,257.1,0.06,0.1,-,549,10,-,0.1,1.1,16,33,Tunggal,Buah,DABM-1964,Snack
652,ER028,Gandaria masak,80.8,68,0.7,0.1,18,2.2,0.4,9,20,1,3,129,-,-,-,329,1020,0.03,0.07,0.7,111,70,Tunggal,Buah,DABM-1964,Snack
654,ER030,"Jambu air, segar",87,46,0.6,0.2,11.8,2.1,0.8,8,9,1.1,11,321.2,-,0.1,-,92,-,0.02,0.38,4.6,5,90,Tunggal,Buah,DABM-1964,Snack
655,ER031,Jambu biji,86,49,0.9,0.3,12.2,2.4,0.6,14,28,1.1,10,52.8,0.02,0.3,-,27,25,0.02,0.03,0.8,87,82,Tunggal,Buah,DABM-1964,Snack
656,ER032,Jambu biji putih tidak berbiji,82.8,61,0.9,0.3,15.4,4.5,0.6,31,41,0.2,20,103,0.04,0.5,-,53,18,1.02,0.06,1.3,116,82,Tunggal,Buah,KZGPI-1990,Snack
657,ER033,"Jambu bol, segar",87.1,49,2.3,0.2,9.6,3.5,0.8,8,8,0.3,1,14,-,-,-,92,-,0.13,0.01,0.5,22,67,Tunggal,Buah,KZGMI-2001,Snack
658,ER034,"Jambu monyet, segar",82.6,64,0.7,0.6,15.8,1.2,0.3,4,13,0.5,12,107.8,-,-,-,1604,25,0.02,-,2,197,90,Tunggal,Buah,DABM-1964,Snack
659,ER035,"Jeruk bali, segar",86.3,48,0.6,0.2,12.4,0.8,0.5,23,27,0.5,21,366.1,171.25,0.1,-,33,20,0.04,-,0.4,43,62,Tunggal,Buah,DABM-1964,Snack
660,ER036,"Jeruk banjar, segar",84.5,61,0.8,0.2,14.1,-,0.4,9,13,0.2,3,79,0.1,0.1,-,9,-,0.12,0.03,0.3,31,72,Tunggal,Buah,KZGMI-2001,Snack
661,ER037,Jeruk garut-keprok,87.3,44,0.8,0.3,10.9,1.6,0.7,33,23,0.4,5,518.1,169.3,0.2,-,0.3,420,0.07,0.03,0.2,31,71,Tunggal,Buah,DABM-1964,Snack
662,ER038,"Jeruk Kalamansi, segar",90.2,39,0.3,0.3,8.9,2.3,0.4,42,85,0.5,82,82,0.3,0.1,-,1000,0.3,0.02,0.1,-,30,100,Tunggal,Buah,BKP,Snack
663,ER039,"Jeruk manis, segar",87.2,45,0.9,0.2,11.2,1.4,0.5,33,23,0.4,4,472.1,160,0.2,-,0.3,190,0.08,0.03,0.2,49,72,Tunggal,Buah,DABM-1964,Snack
664,ER040,"Jeruk nipis, segar",88.9,44,0.5,0.2,10,0.4,0.4,18,22,0.2,3,108.9,0.06,0.1,-,23,4,0.01,0.03,0.2,20,76,Tunggal,Buah,KZGPI-1990,Snack
665,ER041,"Jeruk ragi, segar",87.6,49,0.7,0.2,11.1,0.5,0.4,36,67,0.7,4,457.3,155,0.2,-,0.3,68,0.03,0.03,0.2,30,59,Tunggal,Buah,KZGPI-1990,Snack
666,ER042,"Kawista, segar",71.8,120,3.5,2.5,20.8,4.6,1.4,190,230,1.6,9,1015.6,308.43,0.4,-,99,-,0.07,0.07,0.4,3,72,Tunggal,Buah,KZGPI-1990,Snack
667,ER043,"Kedondong masak, segar",88,46,1,0.1,10.3,2.6,0.6,15,22,2.8,2,216.2,0.03,0.1,-,164,233,0.08,0.23,0.3,30,58,Tunggal,Buah,DABM-1964,Snack
668,ER044,"Kedondong, segar",87.8,47,0.5,0.2,10.4,2.7,0.6,7,58,0.8,2,-,-,0.2,-,167,-,0.07,0.04,0.4,32,58,Tunggal,Buah,KZGMI-2001,Snack
669,ER045,"Kelapa hutan, kering",6,623,2,52.1,36.5,15.3,3.4,120,280,3.8,100,460,1.7,1.9,-,-,-,-,-,0.2,-,-,Tunggal,Buah,KZGMI-2001,Snack
670,ER046,"Kelapa muda, daging, segar",83.3,68,1,0.9,14,-,0.8,7,30,1,18,564.6,0.14,0.4,-,-,-,0.06,0.02,0.6,4,53,Tunggal,Buah,DABM-1964,Snack
671,ER047,"Kemang, segar",86.5,48,1,0.2,11.9,1.7,0.4,10,24,0.1,2,88.6,0.04,0.1,-,318,6,0.08,0.01,0.3,58,65,Tunggal,Buah,DABM-1964,Snack
672,ER048,"Kesemek, segar",78.2,78,0.8,0.4,20,0.6,0.6,6,26,0.3,0.3,34.5,0.13,0.1,-,109,2710,0.05,-,0.1,11,97,Tunggal,Buah,DABM-1964,Snack
673,ER049,"Kokosan, segar",85,86,1.6,0.2,13,1.4,0.2,22,38,1.3,2,118.3,0.08,0.2,-,-,20,0.04,0.04,1.5,3,64,Tunggal,Buah,DABM-1964,Snack
674,ER050,"Kranji, segar",20.1,315,2.1,1.4,73.5,-,2.9,160,120,3.7,-,-,-,-,-,-,-,0.02,-,-,-,31,Tunggal,Buah,KZGPI-1990,Snack
675,ER051,"Langsat, segar",84.1,56,0.9,0.2,14.3,1.4,0.5,17,24,1.1,1,232,0.09,0.2,-,-,-,0.07,-,0.8,9,64,Tunggal,Buah,DABM-1964,Snack
676,ER052,"Lemon, segar",92.2,34,0.5,0.8,6.2,0.1,0.3,23,20,0.3,31,140,0.1,0.2,-,-,-,0.09,0.12,0.3,50,100,Tunggal,Buah,KZGMI-2001,Snack
677,ER053,"Lontar, segar",93,27,0.4,0.2,6,1.6,0.4,91,243,0.5,-,-,-,-,-,-,-,0.03,-,-,-,79,Tunggal,Buah,KZGPI-1990,Snack
678,ER054,"Mangga, segar",86.6,52,0.7,-,12.3,1.6,0.2,20,16,1,3,140,0.33,0,-,316,-,0.03,0.01,0.3,12,65,Tunggal,Buah,KZGMI-2001,Snack
679,ER055,"Mangga benggala, segar",84.4,63,2.4,0.4,12.4,5.8,0.4,9,13,0.2,3,79,0.1,0.1,-,10,-,0.18,0.01,0.4,43,65,Tunggal,Buah,KZGMI-2001,Snack
680,ER056,"Mangga gedung, segar",87.4,44,0.7,0.2,11.2,1.6,0.5,13,10,0.2,2,83.6,0.04,0.1,-,113,16400,0.08,0.01,0.3,30,65,Tunggal,Buah,DABM-1964,Snack
681,ER057,"Mangga golek, segar",82.2,63,0.5,0.2,16.7,2.3,0.4,14,10,0.7,3,118.1,0.05,0.1,-,160,3715,0.08,0.02,0.4,65,65,Tunggal,Buah,DABM-1964,Snack
682,ER058,"Mangga harumanis, segar",86.6,46,0.4,0.2,11.9,1.7,0.8,15,9,0.2,2,88.9,0.04,0.1,-,120,1200,0.08,0.01,0.3,6,65,Tunggal,Buah,DABM-1964,Snack
683,ER059,"Mangga indramayu, segar",80.2,72,0.8,0.2,18.7,2.5,0.1,13,10,1.9,3,131.4,0.06,0.1,-,178,2900,0.06,0.02,0.5,16,65,Tunggal,Buah,DABM-1964,Snack
684,ER060,"Mangga kopek, segar",84.5,56,0.4,0.2,14.6,2,0.3,16,10,1.7,2,102.9,0.04,0.1,-,139,6520,0.03,0.01,0.4,27,65,Tunggal,Buah,DABM-1964,Snack
685,ER061,"Mangga kwini, segar",78.6,86,0.7,0.5,19.8,6.5,0.4,11,11,0.2,1,16,0.1,0.1,-,932,-,0.15,0.02,0.5,18,65,Tunggal,Buah,KZGMI-2001,Snack
686,ER062,"Mangga manalagi, segar",66.5,133,1,0.1,32.1,11.8,0.3,20,23,1,70,161,-,-,-,4,-,0.07,-,0.6,61,65,Tunggal,Buah,KZGMI-2001,Snack
687,ER063,"Mangga muda, segar",83.7,59,0.5,0.4,15.1,-,0.3,12,11,0.4,2,108.2,0.05,0.1,-,146,85,0.06,0.02,0.4,2,73,Tunggal,Buah,DABM-1964,Snack
688,ER064,"Manggis, segar",83,63,0.6,0.6,15.6,1.5,0.2,8,12,0.8,10,61.9,0.1,0.1,-,-,-,0.03,0.03,0.3,5,29,Tunggal,Buah,DABM-1964,Snack
689,ER065,"Markisa, segar",64.7,144,3.5,1.2,29.8,11.4,0.8,27,203,1.4,37,453.8,0.11,0.1,-,969,691,0.02,0.17,2,10,48,Tunggal,Buah,KZGPI-1990,Snack
690,ER066,"Matoa, segar",76.5,90,1.2,0.1,21.1,0.5,1.1,20,40,0.6,10,190,0.3,0.6,-,2,-,0.18,0.09,0.5,54,40,Tunggal,Buah,KZGMI-2001,Snack
691,ER067,"Melon, segar",90.8,37,0.6,0.4,7.8,1,0.5,12,14,0.4,167,167,0.3,0.1,-,1000,-,0.02,0.1,-,0.2,58,Tunggal,Buah,BKP,Snack
693,ER069,"Nanas palembang, segar",85.5,58,0.7,0.2,13.3,1.6,0.3,29,15,0.6,7,117,0.03,0.1,-,17,-,0.26,0.03,0.2,11,53,Tunggal,Buah,KZGMI-2001,Snack
694,ER070,"Nanas, segar",88.9,40,0.6,0.3,9.9,0.6,0.3,22,14,0.9,18,111,0.03,0.1,-,17,90,0.02,0.04,0.2,22,53,Tunggal,Buah,KZGPI-1990,Snack
695,ER071,"Nangka masak pohon, segar",70,106,1.2,0.3,27.6,3.7,2.7,20,19,0.9,2,407,246.58,1.4,-,149,330,0.07,0.1,1,7,28,Tunggal,Buah,DABM-1964,Snack
697,ER073,"Pepaya, segar",86.7,46,0.5,12,12.2,1.6,0.6,23,12,1.7,4,221,0.02,0.3,-,1038,365,0.04,0.06,0.4,78,75,Tunggal,Buah,DABM-1964,Snack
698,ER074,"Pisang ambon, segar",72.9,108,1,0.8,24.3,1.9,1,20,30,0.2,10,-,0.2,0.2,-,37,-,0.05,0.11,0.1,9,75,Tunggal,Buah,KZGMI-2001,Snack
699,ER075,"Pisang angleng (pisang ampyang), segar",80.3,68,1.3,0.2,17.2,0.8,1,10,26,0.6,23,215.7,0.04,0,-,9,76,0.08,0.05,2.5,6,75,Tunggal,Buah,DABM-1964,Snack
700,ER076,"Pisang ayam, segar",71.2,120,1.1,0.2,26.8,4.1,0.7,20,61,0.4,6,392,0.1,0.3,-,24,-,0.1,0.02,1,26,75,Tunggal,Buah,KZGMI-2001,Snack
701,ER077,"Pisang gapi, segar",66.3,127,2.1,0.3,31.1,11.7,1,-,40,0.3,40,392,-,0.3,-,16,-,0.18,0.02,0.3,13,75,Tunggal,Buah,KZGMI-2001,Snack
702,ER078,"Pisang goroho, segar",69.4,115,1.9,0.2,27.9,4.6,1,-,30,0.2,36,359,-,0.3,-,15,-,0.15,0.02,1.1,10,75,Tunggal,Buah,KZGMI-2001,Snack
703,ER079,"Pisang hijau, segar",68.9,117,2,0.3,28.9,0.4,1.1,-,37,0.9,31,529.4,0.28,0.6,-,48,-,0.13,0.06,-,13,72,Tunggal,Buah,KZGPI-1990,Snack
704,ER080,"Pisang kayu, segar",74.4,100,1.4,0.5,23.6,2.6,0.6,15,-,0.1,1,493,0.08,0.3,-,3,-,0.1,-,0.6,11,75,Tunggal,Buah,KZGMI-2001,Snack
705,ER081,"Pisang kepok, segar",71.9,109,0.8,0.5,26.3,5.7,1,10,30,0.5,10,300,0.1,0.2,-,-,-,0.1,-,0.1,9,75,Tunggal,Buah,KZGMI-2001,Snack
706,ER082,"Pisang ketip, segar",63.4,145,1.1,0.3,34.5,6.6,0.7,5,54,0.1,4,726,0.15,0.5,-,3,-,0.13,0.02,0.8,95,75,Tunggal,Buah,KZGMI-2001,Snack
707,ER083,"Pisang kidang, segar",75.4,96,1,0.2,22.5,0.6,0.9,87,173,0.6,6,418.8,0.22,0.5,-,38,58,0.04,0.1,0.9,2,70,Tunggal,Buah,KZGPI-1990,Snack
708,ER084,"Pisang lampung, segar",72.1,99,1.3,0.2,25.6,4.3,0.8,10,19,0.9,28,475,0.25,0.5,-,43,618,0.07,0.12,1,4,75,Tunggal,Buah,DABM-1964,Snack
709,ER085,"Pisang mas bali ampenan, segar",76.8,92,1.4,0.2,21,3.7,0.5,7,29,1.2,32,272,0.18,0.4,-,14,-,0.09,0.03,0.6,11,75,Tunggal,Buah,KZGMI-2001,Snack
710,ER086,"Pisang mas bali kopang, segar",64.2,127,1.4,0.2,31.8,3.7,2.4,10,-,0.1,43,616,0.12,0.4,-,21,-,0.21,0.05,0.9,17,75,Tunggal,Buah,KZGMI-2001,Snack
711,ER087,"Pisang mas, segar",64.2,127,1.4,0.2,33.6,1.4,0.6,7,25,0.8,42,392,195.78,0.5,-,17,79,0.09,0.08,4.5,2,85,Tunggal,Buah,DABM-1964,Snack
712,ER088,"Pisang raja sereh, segar",69.3,108,1.3,0.3,28.2,0.7,1,16,38,0.1,31,522.6,0.27,0.6,-,48,480,0.02,0.08,1.1,2,86,Tunggal,Buah,KZGPI-1990,Snack
713,ER089,"Pisang raja, segar",65.8,120,1.2,0.2,31.8,5.3,1,10,22,0.8,35,582.2,0.31,0.7,-,53,950,0.06,0.14,1.2,10,70,Tunggal,Buah,DABM-1964,Snack
714,ER090,"Pisang rotan, segar",76.1,98,1.3,1.2,20.5,1,0.9,17,51,1.1,24,406.9,0.21,0.5,-,37,697,0.01,0.1,0.9,2,56,Tunggal,Buah,KZGPI-1990,Snack
715,ER091,"Pisang talas, segar",71,113,1.2,0.2,26.7,4.4,0.9,22,22,0.6,29,48,0.26,0.1,-,159,-,0.12,0.03,1,9,75,Tunggal,Buah,KZGMI-2001,Snack
716,ER092,Pisang tujuh bulan,75.9,94,0.6,0.2,22.5,3.7,0.8,50,20,0.2,-,4,0.1,0.4,-,72,-,0.03,0.03,0.3,6,75,Tunggal,Buah,KZGMI-2001,Snack
717,ER093,"Pisang ua, segar",67.8,128,0.8,0.5,30.2,8.1,0.7,12,28,0.7,33,382,0.2,0.3,-,5,-,0.09,0.01,1.2,4,75,Tunggal,Buah,KZGMI-2001,Snack
718,ER094,"Pisang uli, segar",61.8,134,1.1,0.5,35.5,1.4,1.1,31,53,0.9,39,650.3,0.34,0.7,-,59,113,0.11,0.16,1.4,3,77,Tunggal,Buah,KZGPI-1990,Snack
719,ER095,"Purut, segar",81.1,76,4.1,1.1,15.2,1.7,1.4,30,76,0.6,10,285.2,-,-,-,27,93,0.01,0.11,-,-,34,Tunggal,Buah,KZGPI-1990,Snack
720,ER096,"Rambutan binjai, segar",81,76,0.5,0.2,18,3.8,0.3,15,22,1.2,22,120,0.2,0.2,-,-,-,0.19,0.01,0.4,13,40,Tunggal,Buah,KZGMI-2001,Snack
721,ER097,"Rambutan, segar",80.5,69,0.9,0.1,18.1,0.8,0.4,16,16,0.5,16,104.2,0.17,0.1,-,-,-,-,0.07,0.5,58,40,Tunggal,Buah,DABM-1964,Snack
722,ER098,"Salak bali, segar",85.1,57,0.5,0.1,13.6,1.3,0.7,94,25,2.1,-,-,0.08,0.2,-,48,37,-,-,-,0.4,93,Tunggal,Buah,KZGPI-1990,Snack
723,ER099,"Salak medan, segar",78.1,55,0.4,0.2,12.8,3.2,8.5,6,46,0.5,39,113,0.2,0.3,-,4,-,0.04,0.03,-,58,93,Tunggal,Buah,KZGMI-2001,Snack
724,ER100,"Salak pondoh, segar",77.9,87,0.8,0.4,20.1,-,0.8,38,31,3.9,-,-,0.08,0.2,-,-,40,-,0.12,0.1,8,59,Tunggal,Buah,KZGPI-1990,Snack
725,ER101,"Salak, segar",78,77,0.4,-,20.9,-,0.7,28,18,4.2,-,-,0.08,0.2,-,48,-,0.04,-,-,2,93,Tunggal,Buah,DABM-1964,Snack
726,ER102,"Sawo duren, segar",87.3,64,1,3.1,8,0.8,0.6,18,45,0.8,13,111.4,0.02,0.1,-,-,-,0.01,0.02,0.1,1,64,Tunggal,Buah,KZGPI-1990,Snack
727,ER103,"Sawo kecik, segar",73.8,111,0.9,2.3,21.6,1,1.4,20,185,0.7,28,117.8,0.04,0.1,-,119,12,-,0.04,1.5,19,83,Tunggal,Buah,KZGPI-1990,Snack
728,ER104,"Sawo Manila, segar",75.5,92,0.5,1.1,22.4,9.5,0.5,25,12,1,26,110.2,0.04,0.1,-,111,60,0.01,0.04,1.4,21,79,Tunggal,Buah,DABM-1964,Snack
729,ER105,"Semangka, segar",92.1,28,0.5,0.2,6.9,0.4,0.3,7,12,0.2,7,93.8,0.04,0.1,-,315,590,0.05,0.05,0.3,6,46,Tunggal,Buah,DABM-1964,Snack
730,ER106,"Sirsak, segar",81.7,65,1,0.3,16.3,3.2,0.7,14,27,0.6,2,298.9,0.08,1,-,8,10,0.07,0.08,0.7,20,68,Tunggal,Buah,DABM-1964,Snack
732,ER108,"Srikaya, segar",83.4,63,1.1,0.5,13.9,2.1,1.1,127,30,2.7,-,-,-,-,-,-,31,0.08,-,-,28,48,Tunggal,Buah,KZGPI-1990,Snack
733,ER109,"Sukun muda, segar",69.4,119,1.4,0.2,28.1,1.4,1,24,44,1.4,24,414.4,0.09,0.1,-,28,4896,0.17,0.17,3.7,52,84,Tunggal,Buah,KZGPI-1990,Snack
734,ER110,"Sukun tua, segar",67.8,126,1.6,0.2,24.5,1.5,1,37,47,1.6,25,436,0.09,0.1,-,30,2000,0.18,0.17,3.9,58,88,Tunggal,Buah,KZGPI-1990,Snack
736,ER112,"Wani, segar",81.2,74,0.8,0.3,17.1,3.1,0.6,66,29,1.2,-,-,-,-,-,-,32,0.08,-,-,80,77,Tunggal,Buah,KZGPI-1990,Snack
737,ER113,"Mentimun Suri, segar",96.3,16,1.3,0,2.1,0.9,2.9,768,422,-,-,1008,-,-,-,-,-,-,-,-,25,-,Tunggal,Buah,PHKA2-2008,Snack
738,ER114,"Blewah, segar",90.2,34,0.8,0.2,8.2,0.9,0.7,9,15,0.2,16,267,0.04,0.2,-,2029,-,0.04,0.02,0.7,37,-,Tunggal,Buah,TGMF-2006,Snack
739,FP001,"Ayam, ampela, goreng",4.8,270,32.3,11.2,9.9,-,1.8,129,314,4.9,980,-,0.12,3.3,56,-,-,0.21,-,4.7,-,100,Olahan,Daging,KZGMS-1993,Utama
740,FP002,"Ayam, usus, goreng",4.6,473,45.2,26.3,13.9,-,10.1,1407,458,8.4,-,-,-,-,6,-,224,0.57,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
741,FP003,"Bebek, daging, goreng",48.8,300,24,20.7,4.5,-,2,170,170,4.1,34,6,0.4,3,-,-,-,0.1,0.4,10.6,-,100,Olahan,Daging,KZGMI-2001,Utama
745,FP007,Kerupuk urat,3.6,588,53.7,40.9,1.2,-,0.6,36,15,1.3,1024,37,0.1,0.2,2802,-,-,-,-,-,-,100,Olahan,Daging,KZGMI-2001,Snack
749,FP011,"Sapi, abon",7.1,212,18,10.6,59.3,7.5,4.7,150,209,12.3,-,-,-,-,-,240,138,0.17,-,-,-,100,Olahan,Daging,KZGPI-1990,Snack
750,FP012,"Sapi, abon, asli",24.8,358,14.6,16.1,38.6,2.5,5.8,165,136,14.6,-,-,-,-,3,194,144,0.13,-,-,-,100,Olahan,Daging,KZGPI-1990,Snack
751,FP013,"Sapi, daging, asap",60,182,32,6,-,-,2,15,300,5,1620,485.4,0.03,5.1,6,-,-,0.12,0.23,5.9,-,100,Olahan,Daging,DABM-1964,Utama
753,FP015,"Sapi, daging, kornet",53,289,16,25,-,-,6,10,170,4,794,94.4,0.07,4,-,52,-,0.01,0.16,2.7,-,100,Olahan,Daging,DABM-1964,Utama
754,FP016,"Sapi, daging, sosis (Worst)",37.6,448,14.5,42.3,2.3,-,3.3,28,61,1.1,765,284.5,0.06,1.7,-,-,-,0.1,0.18,4.9,-,100,Olahan,Daging,DABM-1964,Utama
755,FP017,"Sapi, hati, sosis (liverworst)",56.6,274,16,22,3,2.3,2.4,20,150,4,654,158.8,0.22,2.2,1201,-,-,0.2,0.96,4,-,100,Olahan,Daging,DABM-1964,Utama
757,FP019,"Sapi, paru, goreng",45.5,268,23.9,12.7,14.5,-,3.1,102,315,8.8,923,299,-,1.5,790,-,-,-,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
759,FP021,"Ayam goreng church texas, dada",42.2,338,35.2,20.6,0.4,-,1.5,79,221,5.6,800,369.5,0.16,1.1,16,-,80,0.52,0.16,12.1,-,100,Olahan,Daging,KZGPI-1990,Utama
760,FP022,"Ayam goreng church,texas paha",50.3,287,31,15.7,1.7,-,1.3,99,176,4.1,723,257,0.17,1.5,22,-,30,0.66,0.2,5.3,-,100,Olahan,Daging,KZGPI-1990,Utama
761,FP023,"Ayam goreng church texas, sayap",47.2,295,34,16,1.5,-,1.3,81,179,3,771,237.2,0.16,1.2,13,-,50,0.44,0.13,6.2,-,100,Olahan,Daging,KZGPI-1990,Utama
762,FP024,"Ayam goreng kalasan, paha",46.2,275,37.4,12.2,1.3,-,2.9,116,237,5.8,176,321.9,0.16,1.5,10,-,50,0.1,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
763,FP025,"Ayam goreng kentucky, dada",46.5,298,34.2,16.8,0.1,-,2.5,90,284,5.5,741,342,0.07,1,36,-,50,0.19,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
764,FP026,"Ayam goreng Kentucky, paha",48.7,286,32.1,16.1,1.1,-,2,89,248,6.9,746,265.2,0.09,2.3,31,-,20,0.5,0.21,5.5,-,100,Olahan,Daging,KZGPI-1990,Utama
765,FP027,"Ayam goreng Kentucky,sayap",44.7,297,35.9,15.2,1.6,-,2.6,103,227,4.4,807,248.4,0.06,1.4,22,-,70,0.73,0.14,6.5,-,100,Olahan,Daging,KZGPI-1990,Utama
766,FP028,Ayam goreng mbok berek dada,43.4,295,39.2,13.6,1,-,2.8,114,278,5.4,-,-,-,-,8,-,50,0.19,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
767,FP029,"Ayam goreng pasundan, dada",50.1,246,37.9,9,0.7,-,2.3,90,260,7.5,-,-,-,-,6,-,70,0.16,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
768,FP030,"Ayam goreng pasundan, paha",52.8,245,33.1,11.4,0.3,-,2.5,90,283,7.3,-,-,-,-,8,-,40,0.37,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
769,FP031,"Ayam goreng pioneer, dada",44.5,295,37.4,14.7,0.6,-,2.7,108,236,6.8,-,-,-,-,16,-,80,0.1,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
770,FP032,"Ayam goreng sukabumi, dada",49.8,244,36.7,9.2,1,-,3.4,81,154,6.1,-,-,-,-,20,-,80,0.66,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
771,FP033,"Ayam goreng sukabumi, paha",46,283,35.7,14.3,0.5,-,3.6,68,106,5.4,-,-,-,-,11,-,60,0.36,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
772,FP034,"Ayam taliwang, masakan",57.5,264,18.2,20.1,2.7,-,1.5,94,164,2,507,408,0.4,12.3,1067,-,-,-,-,-,-,100,Olahan,Daging,KZGMI-2001,Utama
774,FP036,Beef burger,45.5,258,10.6,9.5,32.5,0.4,2.2,210,157,2.6,572,189.1,-,-,218,-,7580,0.95,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
775,FP037,"Beef teriyaki, masakan",65.1,151,8.6,3.1,22.3,0.3,0.9,142,62,2.3,377,-,-,-,22,-,400,0.53,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
776,FP038,"Beef yakiniku, masakan",67.7,132,9.8,1.1,20.7,0.3,0.8,302,67,2,409,-,-,-,78,-,700,0.62,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
777,FP039,Brongkos,76.4,141,15.3,3.3,12.6,1,2.4,87,97,5.1,-,-,-,-,4,-,356,0.4,-,-,-,100,Olahan,Daging,KZGPI-1990,Utama
778,FP040,"Bulgogi, masakan",84.2,72,11.4,4.9,1.4,1.7,0.7,214,86,2.5,509,-,-,-,17,-,-,1.08,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
779,FP041,"Chicken teriyaki, masakan",68.2,168,13,9.6,7.5,0.8,1.7,137,106,3.1,959,-,-,-,68,-,2200,0.65,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
780,FP042,"Chikiniku, masakan",65.4,143,9.8,1.4,22.8,0.4,0.6,301,63,2,531,-,-,-,27,-,1280,0.73,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
782,FP044,"Coto mangkasara, sapi, masakan",85.9,84,6,6,1.4,-,0.7,8,104,4,90,25,0.3,0.6,-,-,-,0.16,0.14,10.3,-,100,Olahan,Daging,KZGMI-2001,Utama
784,FP046,"Empal (daging) Goreng, masakan",43.9,248,36.2,6.9,10.1,-,2,131,235,6.4,848,-,-,-,112,-,620,0.55,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
785,FP047,Gulai kambing,78.4,126,4.2,9.4,6.2,-,1.8,45,73,1.3,302,138,0.2,1.1,151,-,-,0.13,0.01,-,-,100,Olahan,Daging,KZGMI-2001,Utama
787,FP049,"Kalio ayam, masakan",64.7,203,16,13.5,4.4,-,1.4,278,177,4.2,534,-,-,-,105,-,3780,0.35,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
788,FP050,"Kalio jeroan, masakan",68.9,163,16.5,9,4.1,-,1.5,102,268,7.1,570,-,-,-,298,-,1960,0.7,-,-,-,100,Olahan,Daging,KZGMS-1993,Utama
