No,Kode,Makanan,Air(g),Energi(Kal),Protein(g),Lemak(g),Karbohidrat(g),Serat(g),Abu(g),Kalsium(mg),Fosfor(mg),Besi(mg),Natrium(mg),Kalium(mg),Tembaga(mg),Seng(mg),Retinol (mcg),β-karoten(mcg),Karoten total(mcg),Vit B1(mg),Vit B2(mg),Niasin(mg),Vitamin C(mg),BDD(%),Mentah/Olahan,Kelompok Makanan,Sumber TKPI 2019,Utama/Snack
43,AP043,Dodol bali,26.5,298,3.7,2.1,65.9,0.4,1.8,70,76,2.5,-,-,-,-,-,-,496,0.28,-,2.5,-,100,Olahan,Serealia,KZGPI-1990,Snack
44,AP044,Dodol galamai,16.5,348,0.4,3.8,76.1,0.5,1.2,41,144,2.6,38,76,0.3,2.1,-,-,-,0.03,0.06,1.8,-,100,Olahan,Serealia,KZGMI-2001,Snack
45,AP045,Dodol kedondong,26.4,331,1.9,7.6,63.8,1,0.4,90,55,2.3,-,-,-,-,-,-,408,0.11,-,0.8,5,100,Olahan,Serealia,KZGPI-1990,Snack
46,AP046,Dodol manado,26.1,373,4.3,16.5,51.9,0.4,1.2,41,142,2.4,35,72,0.3,2.1,-,-,-,0.04,0.06,2.1,-,100,Olahan,Serealia,KZGMI-2001,Snack
49,AP049,Gendar goreng,30.4,407,6.4,28.2,32,0.1,3,216,62,1.6,-,-,-,-,-,-,184,0.16,-,0.6,-,100,Olahan,Serealia,KZGPI-1990,Snack
50,AP050,Intip goreng,6.5,474,7.6,21.6,62.3,1.2,2,36,64,2.5,-,38,0.05,0.5,-,-,200,0.25,0.03,0.8,-,100,Olahan,Serealia,KZGPI-1990,Snack
51,AP051,Jagung gerontol,61.7,156,2.7,1.3,33.3,1,0.8,51,105,1.2,-,-,-,-,-,-,162,0.08,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
52,AP052,Jagung titi,9.2,374,9.4,2.2,79.1,0.8,0.1,14,142,2.9,-,-,9,-,-,-,11507,0.2,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
53,AP053,Japilus,3.8,500,1.2,25.1,67.3,0.4,2.7,186,29,4.9,-,-,-,-,-,-,-,0.17,0.03,0.4,-,100,Olahan,Serealia,KZGPI-1990,Snack
55,AP055,Kambose,61.5,164,3,2.4,32.6,4.3,0.7,16,36,0.7,-,32,0.1,1.6,-,256,-,0.1,0.1,0.4,-,100,Olahan,Serealia,KZGMI-2001,Snack
56,AP056,Kapusa,63.5,158,4.4,3.2,27.8,5.3,1,79,115,1.2,104,149,0.5,1.1,-,1374,-,0.06,0.05,0.1,-,100,Olahan,Serealia,KZGMI-2001,Snack
58,AP058,"Kelepon, kue",49.6,215,3.7,3.7,41.8,1,1.2,232,45,3.3,-,-,-,-,-,-,872,0.09,0.07,0.2,-,100,Olahan,Serealia,KZGMI-2001,Snack
60,AP060,Ketoprak,69.1,153,7.9,7.7,13,2.9,2.6,153,134,3.4,-,-,-,-,3,-,435,0.05,-,-,-,100,Olahan,Serealia,KZGPI-1990,Utama
63,AP063,Koya mirasa,7.2,370,8,1,82.2,0.4,1.6,83,110,17,-,-,-,-,3,-,144,0.19,0.45,2.6,-,100,Olahan,Serealia,KZGMI-2001,Snack
65,AP065,Kue ali,12.8,440,3.8,18.5,64.5,0.3,0.4,27,47,2.5,-,-,-,-,-,-,-,0.13,0.09,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
68,AP068,Kue jahe,3.7,425,1.6,8.8,84.6,1.2,1.3,155,61,4,-,-,-,-,-,-,-,0.2,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
69,AP069,Kue kelapa,3.3,591,5.6,42.1,47.5,-,1.5,32,180,1.6,33,443,0.5,1.1,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
72,AP072,Kue lumpur,40.1,291,3.6,11.1,44.1,-,1.1,96,60,2.3,-,-,-,-,20,-,400,0.24,-,-,-,100,Olahan,Serealia,KZGMS-1993,Snack
74,AP074,Kue putu cangkir,32.6,304,5.3,7,54.9,0.9,0.2,18,193,4,-,-,-,-,-,-,-,0.06,-,-,-,100,Olahan,Serealia,KZGPI-1990,Snack
75,AP075,Kue sus,56.6,221,7.5,10.2,24.8,-,0.9,105,85,2.5,-,-,-,-,26,-,1300,0.12,-,-,-,100,Olahan,Serealia,KZGMS-1993,Snack
76,AP076,Kue thipan,43,247,2.9,4.2,49.5,-,0.4,16,107,1.8,95,56,1.3,0.8,-,-,-,0.17,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
78,AP078,Lapis legit,21.3,389,6.6,15.7,55.5,0.5,0.9,16,136,1.9,-,-,-,-,41,-,1032,0.26,0.09,3,-,100,Olahan,Serealia,KZGPI-1990,Snack
79,AP079,Lupis ketan,61,164,1.8,2.1,34.5,0.7,0.6,119,31,1.5,-,-,-,-,-,-,-,0.09,-,0.2,-,100,Olahan,Serealia,KZGPI-1990,Snack
81,AP081,Martabak india,65.8,153,4.5,4.2,24.3,-,1.2,14,108,2.4,240,112,0.4,0.5,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
82,AP082,Martabak mesir,40.2,278,5.1,8.6,45,-,1.1,49,168,3.4,193,123,0.2,0.9,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
83,AP083,Masekat,15.6,369,2.1,7,74.1,4,0.8,17,52,0.8,141,12,0.4,0.3,155,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Snack
84,AP084,Mie aceh rebus,74.6,113,3,3.2,18.1,-,1.1,22,44,1.4,191,36,0.2,0.3,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Utama
85,AP085,Mie ayam,78.6,102,6.2,3.9,10.5,-,0.8,262,51,1.8,279,-,-,-,39,-,166,0.85,-,-,-,100,Olahan,Serealia,KZGMS-1993,Utama
86,AP086,Mie bakso,74.5,114,5.3,3,16.4,0.1,0.8,286,53,1.9,760,-,-,-,17,-,180,0.16,-,-,-,100,Olahan,Serealia,KZGMS-1993,Utama
87,AP087,Mie celon,75.9,102,3,2.1,17.8,-,1.2,12,84,1.4,451,112,0.1,0.5,-,-,-,-,-,-,-,100,Olahan,Serealia,KZGMI-2001,Utama
88,AP088,Mie pangsit basah,79.2,105,5.9,4.9,9.4,-,0.7,208,48,2,530,-,-,-,25,-,620,0.46,-,-,-,100,Olahan,Serealia,KZGMS-1993,Utama
89,AP089,Nasi gemuk,61.4,192,3.8,8.8,24.4,0.7,1.6,15,74,1,355,63,0.2,1.4,-,-,-,0.19,0.05,2,-,100,Olahan,Serealia,KZGMI-2001,Utama
90,AP090,Nasi gurih,60.5,190,4.7,7.5,26,0.7,1.3,12,62,0.8,296,52,0.2,1.2,-,-,-,0.11,0.06,2.1,-,100,Olahan,Serealia,KZGMI-2001,Utama
91,AP091,Nasi minyak,53.3,207,3.5,5,37.1,0.8,1.1,26,100,1.5,74,174,0.2,2.2,-,-,-,0.14,0.07,2.6,-,100,Olahan,Serealia,KZGMI-2001,Utama
92,AP092,Nasi rames,65.8,155,10.3,4.2,19.1,-,0.6,239,62,1.8,265,-,-,-,96,-,3140,0.59,-,-,-,100,Olahan,Serealia,KZGMS-1993,Utama
